sector_id;sector_nombre;variable_id;actividad_producto_nombre;indicador;unidad_de_medida;fuente;frecuencia_nombre;cobertura_nombre;alcance_tipo;alcance_id;alcance_nombre;indice_tiempo;valor
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2001-01-01;1541556
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2002-01-01;NA
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2003-01-01;1273637
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2004-01-01;1195922
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2005-01-01;NA
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2006-01-01;1061845
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2007-01-01;1046625
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2008-01-01;991923
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2009-01-01;1033565
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2010-01-01;NA
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2011-01-01;1043512
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2012-01-01;947486
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2013-01-01;NA
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2014-01-01;782547
23;FALSO;322;Manzana;FALSO;tn;IDR-SFRN;Anual;Nacional;PAIS;200;Argentina;2015-01-01;952540
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1995-01-01;174914
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1996-01-01;195109
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1997-01-01;185081
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1998-01-01;NA
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;1999-01-01;162340
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2000-01-01;NA
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2001-01-01;148670
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2002-01-01;150948
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2003-01-01;155637
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2004-01-01;185885
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2005-01-01;NA
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2006-01-01;180719
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2007-01-01;172686
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2008-01-01;151469
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2009-01-01;190125
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2010-01-01;NA
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2011-01-01;135812
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2012-01-01;92362
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2013-01-01;NA
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2014-01-01;83393
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;58;NEUQUEN;2015-01-01;134177
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1995-01-01;906671
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1996-01-01;947424
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1997-01-01;962025
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1998-01-01;NA
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;1999-01-01;949326
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2000-01-01;638775
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2001-01-01;1217050
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2002-01-01;894145
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2003-01-01;973737
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2004-01-01;900784
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2005-01-01;1023057
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2006-01-01;768256
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2007-01-01;773957
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2008-01-01;771333
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2009-01-01;773923
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2010-01-01;651766
23;FALSO;325;Manzana;FALSO;tn;SFRN;Anual;Provincial;PROVINCIA;62;RIO NEGRO;2011-01-01;822120
